month,new_customers,churned_customers,total_customers,base_mrr,addon_revenue,total_mrr,infrastructure_cost,ai_cost,sales_marketing,team_cost,support_cost,total_costs,net_income,cac,ltv,ltv_cac_ratio,cumulative_revenue,cumulative_costs,cumulative_profit
16,17,4,117,46683,17550.0,64233.0,2255,5265,12000,55000,2925,77445,-13212.0,705.8823529411765,13725.0,19.44375,389744.5,569155,-179410.5
17,18,4,131,52269,19650.0,71919.0,2465,5895,12000,55000,3275,78635,-6716.0,666.6666666666666,13725.0,20.587500000000002,461663.5,647790,-186126.5
18,19,5,145,57855,21750.0,79605.0,2675,6525,12000,55000,3625,79825,-220.0,631.578947368421,13725.0,21.73125,541268.5,727615,-186346.5
19,20,5,160,63840,24000.0,87840.0,2900,7200,12000,55000,4000,81100,6740.0,600.0,13725.0,22.875,629108.5,808715,-179606.5
20,21,6,175,69825,26250.0,96075.0,3125,7875,12000,55000,4375,82375,13700.0,571.4285714285714,13725.0,24.01875,725183.5,891090,-165906.5
21,22,7,190,75810,28500.0,104310.0,3350,8550,12000,55000,4750,83650,20660.0,545.4545454545455,13725.0,25.162499999999998,829493.5,974740,-145246.5
22,23,7,206,82194,30900.0,113094.0,3590,9270,12000,55000,5150,85010,28084.0,521.7391304347826,13725.0,26.30625,942587.5,1059750,-117162.5
23,24,8,222,88578,33300.0,121878.0,3830,9990,12000,55000,5550,86370,35508.0,500.0,13725.0,27.45,1064465.5,1146120,-81654.5
24,25,8,239,95361,35850.0,131211.0,4085,10755,12000,55000,5975,87815,43396.0,480.0,13725.0,28.59375,1195676.5,1233935,-38258.5
25,25,9,255,101745,38250.0,139995.0,4325,11475,20000,85000,6375,127175,12820.0,800.0,13725.0,17.15625,1335671.5,1361110,-25438.5
26,26,10,271,108129,40650.0,148779.0,4565,12195,20000,85000,6775,128535,20244.0,769.2307692307693,13725.0,17.842499999999998,1484450.5,1489645,-5194.5
27,27,10,288,114912,43200.0,158112.0,4820,12960,20000,85000,7200,129980,28132.0,740.7407407407408,13725.0,18.52875,1642562.5,1619625,22937.5
28,28,11,305,121695,45750.0,167445.0,5075,13725,20000,85000,7625,131425,36020.0,714.2857142857143,13725.0,19.215,1810007.5,1751050,58957.5
29,30,12,323,128877,48450.0,177327.0,5345,14535,20000,85000,8075,132955,44372.0,666.6666666666666,13725.0,20.587500000000002,1987334.5,1884005,103329.5
30,31,12,342,136458,51300.0,187758.0,5630,15390,20000,85000,8550,134570,53188.0,645.1612903225806,13725.0,21.27375,2175092.5,2018575,156517.5
31,33,13,362,144438,54300.0,198738.0,5930,16290,20000,85000,9050,136270,62468.0,606.060606060606,13725.0,22.646250000000002,2373830.5,2154845,218985.5
32,35,14,383,152817,57450.0,210267.0,6245,17235,20000,85000,9575,138055,72212.0,571.4285714285714,13725.0,24.01875,2584097.5,2292900,291197.5
33,36,15,404,161196,60600.0,221796.0,6560,18180,20000,85000,10100,139840,81956.0,555.5555555555555,13725.0,24.705000000000002,2805893.5,2432740,373153.5
34,38,16,426,169974,63900.0,233874.0,6890,19170,20000,85000,10650,141710,92164.0,526.3157894736842,13725.0,26.077500000000004,3039767.5,2574450,465317.5
35,40,17,449,179151,67350.0,246501.0,7235,20205,20000,85000,11225,143665,102836.0,500.0,13725.0,27.45,3286268.5,2718115,568153.5
36,42,17,474,189126,71100.0,260226.0,7610,21330,20000,85000,11850,145790,114436.0,476.1904761904762,13725.0,28.822499999999998,3546494.5,2863905,682589.5
